Symbol,Digit Type,Mean,Std Dev
BTC,First,0.0043455958638539,0.0033606597731554
BTC,Second,0.000955121380286,0.0007293250100267
ETH,First,0.0070029804088619,0.0042192987959857
ETH,Second,0.001200872403866,0.0009091808711031
XRP,First,0.0045293252801859,0.0047510474180708
XRP,Second,0.0009962028056271,0.000777407859781
DOGE,First,0.0034487740668451,0.0036171596158641
DOGE,Second,0.0012549129895966,0.0010673151617941
SOL,First,0.0078218780724731,0.0056169684327728
SOL,Second,0.0011798703273954,0.0008724945796864
ADA,First,0.0038488627877341,0.0033080160809303
ADA,Second,0.0069831097199274,0.0044733282292681
TRX,First,0.0057017886915802,0.003829517992264
TRX,Second,0.0041803204066897,0.0028895523832416
LINK,First,0.0038826466393432,0.0034540003897988
LINK,Second,0.010306814805333,0.0069774168944746
SUI,First,0.0054128315441552,0.0041965890207229
SUI,Second,0.0011108842671532,0.0012084726860705
XLM,First,0.0050462440419558,0.0042799295478893
XLM,Second,0.0110580608706549,0.0077075645727958
SHIB,First,0.002598204674425,0.002238064141949
SHIB,Second,0.0012255719228356,0.0011111385134431
HBAR,First,0.0064231264856744,0.0060326596229709
HBAR,Second,0.0125996961800016,0.0066257647878923
DOT,First,0.0089638464560031,0.0053691475626732
DOT,Second,0.0164666690850652,0.0078290248996619
BCH,First,0.0034801038199366,0.0027410896723091
BCH,Second,0.0064392316619099,0.0043838243210646
NEAR,First,0.0020262874069571,0.001671558809873
NEAR,Second,0.0029822663920356,0.0024104512846303
APT,First,0.0051806363258618,0.0050112136325745
APT,Second,0.0088593395340117,0.0078303568775795
AAVE,First,0.004564973105035,0.0038395885898505
AAVE,Second,0.009422637459987,0.0071209031267318
VET,First,0.0071046578220551,0.0035516404553368
VET,Second,0.0164932754103386,0.0064119464851759
ETC,First,0.0018576415051461,0.001547763327283
ETC,Second,0.004426699477803,0.0036870538619378
ALGO,First,0.0065270358847469,0.0039736726469824
ALGO,Second,0.017218847132807,0.0098894798721291
ARB,First,0.0037723544735989,0.0024763120741305
ARB,Second,0.0091731539760818,0.0065826322312383
ATOM,First,0.0083807467804652,0.0035142266815711
ATOM,Second,0.0171283905919935,0.00540262235464
STX,First,0.0019262485773133,0.001766469625561
STX,Second,0.0013097890637585,0.0010999736015015
THETA,First,0.0101158000656026,0.0041786117773855
THETA,Second,0.0194123141212423,0.0063735084245181
IMX,First,0.0061234655424702,0.0031957462474081
IMX,Second,0.0155581233694566,0.0064931694238887
GRT,First,0.00635979604852,0.0037763807095434
GRT,Second,0.0144894905396247,0.0068734991803878
SEI,First,0.0020853453689353,0.0013497433429372
SEI,Second,0.0017346450709421,0.0014162467862544
SAND,First,0.0050153105654466,0.0028362551801075
SAND,Second,0.0130300543990773,0.0050181187922311
EOS,First,0.0057612549915243,0.003478632878704
EOS,Second,0.013764560935655,0.0059584456454784
XTZ,First,0.0071142288111645,0.0073813291694946
XTZ,Second,0.013661237160283,0.0083379807510456
IOTA,First,0.0056144736082146,0.0041432822201304
IOTA,Second,0.0165141721683741,0.0089473039000016
FLOW,First,0.0049957337660096,0.0048069311673326
FLOW,Second,0.0059652863006089,0.0043944744023579
ENS,First,0.0033648437597361,0.0027679229789166
ENS,Second,0.0060549192205025,0.0048603534836971
NEO,First,0.0046500028834994,0.003919382407718
NEO,Second,0.0099482842347066,0.0064592825604537
MANA,First,0.0085339171811089,0.0045324597810381
MANA,Second,0.0184481605924431,0.0094900368429351
AXS,First,0.0043149388906286,0.0029771762823815
AXS,Second,0.0105762640693029,0.0054701085379862
CHZ,First,0.0039836730793099,0.0028574030237533
CHZ,Second,0.0087773038160785,0.0057590389460767
XEC,First,0.0037273417440077,0.0035677364783264
XEC,Second,0.0064310813863705,0.0044273891084278
MINA,First,0.0060071301874307,0.0037947113479982
MINA,Second,0.0137337796545806,0.0069689409985706
KAVA,First,0.0074713931914952,0.0047064088809024
KAVA,Second,0.0138378134676572,0.0061645282734671
1INCH,First,0.0073913845339082,0.0053299432998283
1INCH,Second,0.0162115301001613,0.0076635610413103
ZRO,First,0.0023598201823604,0.0017707012097469
ZRO,Second,0.0046960034087448,0.0039856244918301
BLUR,First,0.002269547561469,0.0014881236418516
BLUR,Second,0.0037405994347401,0.0029432420584455
TFUEL,First,0.0044342896816514,0.0027602855372731
TFUEL,Second,0.0121412536304823,0.0060380723539968
ASTR,First,0.0038941131876746,0.0029691941252764
ASTR,Second,0.0098898537017385,0.0056235024678296
ZIL,First,0.0070892169022285,0.0043974222803312
ZIL,Second,0.0181901610372075,0.0075438618904458
ZRX,First,0.0037866470776969,0.0028508523624398
ZRX,Second,0.0117587378405833,0.006822477939651
JST,First,0.006169536874352,0.0062916984028908
JST,Second,0.012101250167959,0.0063713720657012
GLM,First,0.0043215751821431,0.0037711854844912
GLM,Second,0.00947393365879,0.0060114163461959
ID,First,0.0051664402644409,0.0041529094600648
ID,Second,0.0110226627956492,0.0079449160394053
BAT,First,0.0073889367600725,0.0042026527837553
BAT,Second,0.01975371366626,0.0072739890906919
CELO,First,0.0079668848701436,0.0052748557368665
CELO,Second,0.0154140619354059,0.0098676490782504
ANKR,First,0.0061760698853398,0.0040862024151582
ANKR,Second,0.0155251819919321,0.0064394962099696
QTUM,First,0.0041731940909293,0.0032065228570592
QTUM,Second,0.0119770911076752,0.0069168284526471
SC,First,0.0035262562255189,0.0025734507818245
SC,Second,0.0106543770669303,0.0055667317764998
GAS,First,0.003532473284799,0.003262341425933
GAS,Second,0.0064289875713287,0.0053070627021132
GMT,First,0.0071634657116617,0.0076700572482299
GMT,Second,0.0138113365649953,0.0069155936484632
ELF,First,0.008930751832878,0.0095387580355994
ELF,Second,0.0157423395239562,0.0087336616080731
T,First,0.004169584069811,0.0041576191370029
T,Second,0.0078515954255659,0.005136637982092
MASK,First,0.005982150449306,0.0056143883580564
MASK,Second,0.0105400979587535,0.007478218698937
POLYX,First,0.0023333302615712,0.002200116361823
POLYX,Second,0.0063941228725071,0.0043365975463287
HIVE,First,0.0079417741829902,0.0055659587886818
HIVE,Second,0.0165338468313097,0.0088678855371556
ONT,First,0.006982521677743,0.0046725857673903
ONT,Second,0.0188599264133499,0.0101712048999396
SXP,First,0.0038063944509418,0.003431053135917
SXP,Second,0.0107670718701673,0.0077371294581992
STORJ,First,0.0039855691317576,0.0033483161646972
STORJ,Second,0.0089777049694041,0.0054564577395293
SNT,First,0.005349780470659,0.0048470742746102
SNT,Second,0.0083325216394521,0.00626986102532
LSK,First,0.0039577181315819,0.0029460390977581
LSK,Second,0.0152634420359115,0.0073300797895837
CVC,First,0.004941231127631,0.0043629998409963
CVC,Second,0.0102924273260772,0.0086273552447686
POWR,First,0.0033014167004162,0.0027071376538863
POWR,Second,0.0120254241496397,0.0077372347927019
IQ,First,0.0035778048482841,0.0026690135728161
IQ,Second,0.0104874777824237,0.0080337530820202
IOST,First,0.0054692959951139,0.0037216728687152
IOST,Second,0.0162718905443719,0.0072331470664266
STRAX,First,0.0041881660319448,0.0028699008352697
STRAX,Second,0.0121551568168939,0.0058154931028629
ONG,First,0.0035483230303517,0.0032481026283424
ONG,Second,0.0125288780420997,0.0075654534087617
PUNDIX,First,0.0051874932332215,0.0035444138911343
PUNDIX,Second,0.0138231658235477,0.0069634447372128
STEEM,First,0.0049837250834155,0.0032771568209706
STEEM,Second,0.0155602131336918,0.0067027845458641
KNC,First,0.0053465793574619,0.0034798056217204
KNC,Second,0.0160084143127235,0.0056846493887618
ARK,First,0.0031267181153042064,0.004528447654189854
ARK,Second,0.006205683873332977,0.005842410992944251
